Si,Fe,Cu,Mg,Zn,Ti,Zr,Sc,Mn,Al,SHT_Temperature,SHT_Time,Aging_temperature,Aging_Time,Process,Valence_electrons,Period ,Melting_temperature,Atomic_mass,Heat_of_vaporization,Group,Heat_of_fusion,Electron_negativety,Electron_affinity,Density,Boiling_temperature,Atomic_radius,Atomic_number,Young_modulus,Shear_modulus,Bulk_modulus,Covalent_radius,Poisson_ratio,Mendeleev_number,atomic_volume,Electronegativity_allred,Electronegativity_pauling,Space_group,Work_function,First_ionization_energy,d_valence_electrons,P_valence_electrons,S_valence_electrons,Lattice_a,Lattice_c,YS,El
0.085,0.001,0.035,0.001,0.001,0,0,0,0,0.877,0,0,0,0,500,3.048,3.037,739.593,28.444,298.57,12.998,14.11875,1.64476,53.2127,2.89629,2550.191,118.439,13.673,70.299,26.851,80.337,120.567,0.33838,70.307,16.73247,1.50287,1.64476,225.112,4.25113,601.7247,0.366,1.047,1.965,171.0569045,171.0574895,159,4
0.07,0.004,0.001,0.0035,0.001,0,0,0,0,0.9205,540,12,0,0,1,3.0645,3.006,716.442,27.2505,297.0915,13.0085,13.45535,1.63046,49.1143,2.702085,2540.4675,117.8075,13.1475,68.9645,26.2455,78.0055,120.426,0.34034,69.8485,16.847205,1.48921,1.63046,225.0165,4.235445,593.82265,0.044,1.0605,1.999,169.5630121,169.5636022,145,3.5
0.12,0.0054,0,0,0,0,0,0,0.0025,0.8721,0,0,0,0,100000,3.1225,3.0079,756.6862,27.3216,301.0291,13.078,15.43899,1.645838,53.61708,2.695443,2565.4218,117.4727,13.2148,68.3214,26.46015,79.4976,119.9044,0.334001,70.4049,16.982093,1.503643,1.645838,225.2416,4.264567,603.82426,0.0449,1.1121,2,168.6646673,168.6661231,305,6.1
0,0,0.0012,0,0,0,0,0,0,0.9988,345,2.5,0,0,5,2.9988,3.0012,660.51,27.0444,293.0084,12.9976,10.70276,1.610348,43.09,2.707512,2519.0516,118.0324,13.0192,70.072,26.0264,76.0768,121.0132,0.349988,69.0072,16.60424,1.470336,1.610348,225,4.2003,577.6016,0.012,0.9988,1.9988,171.0736125,171.0736125,35,35
0.003,0.001,0.0015,0.0325,0,0,0,0,0.005,0.957,0,0,0,0,500,2.974,3.0075,666.3825,27.08,287.535,12.6075,10.77195,1.601475,41.7445,2.705775,2471.817,119.15,13.0665,69.9895,26.0646,75.4745,121.7375,0.347435,68.8915,16.809425,1.46425,1.601475,223.9625,4.17948,584.37095,0.046,0.963,1.9985,170.908017,170.9108903,160,10
0.003,0.001,0.0015,0.04,0.018,0,0,0,0,0.9365,0,0,0,0,500,2.9435,3.0205,659.0575,27.6515,283.5305,12.537,10.68415,1.600245,40.863,2.75457,2434.3735,119.5695,13.305,69.846,26.0356,74.914,121.8155,0.345335,69.205,16.85744,1.46522,1.600245,223.212,4.170805,590.7952,0.201,0.9425,1.9985,170.7044314,170.714983,152,10
0,0,0,0.04,0,0,0.004,0.007,0.005,0.944,0,0,300,2,100000,2.969,3.02,673.477,27.352,287.358,12.424,10.7108,1.59483,40.882,2.70221,2469.287,120.109,13.184,69.656,25.9565,74.931,122.449,0.34692,68.269,16.94792,1.45816,1.59483,223.379,4.1616,585.2176,0.04,0.944,2,170.4936774,170.5025236,474,6.6
0,0,0.0525,0,0,0.0017,0,0,0.0031,0.9427,530,6,270,10,100000,2.9523,3.0573,685.8427,29.034,293.3656,12.8611,10.8421,1.62492,46.74402,3.046497,2521.1433,119.6494,13.8925,73.625,27.35145,79.5542,121.6996,0.349331,69.1649,16.346131,1.484848,1.62492,224.9225,4.21322,586.79102,0.5439,0.9427,1.9475,175.1318163,175.1346623,344,7
0,0,0,0.0334,0,0,0,0.0023,0.0051,0.9592,0,0,0,0,10000,2.9717,3.0074,664.6809,27.033,287.1742,12.579,10.65814,1.599099,41.287,2.692573,2469.6509,119.2729,13.0462,69.827,25.97915,75.1453,121.8725,0.347682,68.7261,16.836172,1.462026,1.599099,223.8525,4.17404,583.5913,0.0278,0.9592,2,170.7215141,170.725738,119,18.9
0.002,0,0.015,0.021,0.052,0,0,0,0,0.91,0,0,120,18,10000,2.914,3.067,655.193,29.47,280.724,12.689,10.5969,1.61071,41.1672,3.00367,2406.574,120.206,14.105,72.305,27.0254,76.045,121.617,0.34313,69.719,16.61525,1.47958,1.61071,222.741,4.1838,600.8125,0.67,0.914,1.985,173.549783,173.5797639,238,7.3
0,0,0.014,0.023,0.0551,0,0,0,0,0.9079,0,0,0,0,100000,2.9079,3.0691,652.496,29.5428,279.7156,12.6639,10.501615,1.609364,40.6917,3.009974,2397.9138,120.3214,14.1377,72.3588,27.0377,75.8524,121.6691,0.34297,69.7222,16.622568,1.478869,1.609364,222.5789,4.18074,601.5668,0.691,0.9079,1.986,173.6112701,173.643027,330,17
